driver_id,timestamp,day_of_week,hour_of_day,location_cluster,hours_worked,rides_completed,earnings,wellness_score,preferred_location,avg_ride_duration_minutes
driver_1,2025-04-25 02:08:22,4,2,Semarang,1.16,3,62000,40,Jakarta,23.2
driver_1,2025-04-25 04:23:07,4,4,Jakarta,1.79,2,28000,4,Surabaya,53.7
driver_1,2025-04-25 06:09:29,4,6,Surabaya,1.41,5,107000,36,Surabaya,16.92
driver_1,2025-04-25 07:43:01,4,7,Bandung,1.14,3,54000,20,Surabaya,22.8
driver_1,2025-04-25 09:49:23,4,9,Banten,1.68,8,178000,92,Jakarta,12.6
driver_1,2025-04-25 11:25:44,4,11,Semarang,1.28,1,25000,14,Surabaya,76.8
driver_1,2025-04-25 12:07:12,4,12,Semarang,0.55,2,28000,22,Jakarta,16.5
driver_1,2025-04-25 14:46:27,4,14,Banten,2.12,6,125000,58,Jakarta,21.2
driver_1,2025-04-25 15:45:14,4,15,Jakarta,0.77,1,15000,65,Banten,46.2
driver_1,2025-04-25 19:03:25,4,19,Jakarta,2.64,6,162000,21,Bandung,26.4
driver_1,2025-04-25 21:14:36,4,21,Surabaya,1.75,7,190000,79,Bandung,15.0
driver_1,2025-04-26 00:08:54,5,0,Jakarta,2.32,11,236000,72,Surabaya,12.65
driver_1,2025-04-26 02:02:09,5,2,Semarang,1.51,6,173000,73,Jakarta,15.1
driver_1,2025-04-26 05:10:06,5,5,Surabaya,2.3,7,196000,47,Jakarta,19.71
driver_1,2025-04-26 07:02:35,5,7,Surabaya,1.49,6,141000,45,Bandung,14.9
driver_1,2025-04-26 09:34:41,5,9,Bandung,1.6,8,194000,80,Surabaya,12.0
driver_1,2025-04-26 10:36:39,5,10,Banten,0.81,1,13000,97,Bandung,48.6
driver_1,2025-04-26 12:11:48,5,12,Surabaya,1.27,5,67000,44,Jakarta,15.24
driver_1,2025-04-26 15:29:50,5,15,Bandung,2.64,7,176000,84,Surabaya,22.63
driver_1,2025-04-26 17:03:06,5,17,Bandung,1.24,1,15000,22,Banten,74.4
driver_1,2025-04-26 18:24:27,5,18,Semarang,1.08,1,24000,71,Bandung,64.8
driver_1,2025-04-26 20:51:00,5,20,Banten,1.95,4,68000,20,Semarang,29.25
driver_1,2025-04-26 23:38:29,5,23,Surabaya,2.23,9,124000,78,Semarang,14.87
driver_1,2025-04-27 03:04:22,6,3,Banten,2.73,8,190000,39,Surabaya,20.48
driver_1,2025-04-27 04:05:44,6,4,Jakarta,0.81,1,12000,23,Banten,48.6
driver_1,2025-04-27 05:57:43,6,5,Jakarta,1.48,7,180000,32,Bandung,12.69
driver_1,2025-04-27 08:19:38,6,8,Semarang,1.88,2,53000,27,Banten,56.4
driver_1,2025-04-27 11:43:58,6,11,Jakarta,1.28,1,14000,30,Semarang,76.8
driver_1,2025-04-27 15:23:20,6,15,Jakarta,2.92,2,56000,73,Bandung,87.6
driver_1,2025-04-27 16:46:13,6,16,Bandung,1.09,2,39000,62,Banten,32.7
driver_1,2025-04-27 20:19:44,6,20,Bandung,1.32,6,157000,41,Semarang,13.2
driver_1,2025-04-27 23:50:39,6,23,Bandung,2.8,13,380000,79,Bandung,12.92
driver_1,2025-04-28 02:24:38,0,2,Surabaya,2.04,3,50000,43,Surabaya,40.8
driver_1,2025-04-28 04:19:21,0,4,Semarang,1.52,7,189000,25,Jakarta,13.03
driver_1,2025-04-28 04:53:49,0,4,Banten,0.5,1,25000,59,Banten,30.0
